product_name,brand,product_url,product_type,ingredients,price,ingredients_list,nb_ingredients,volume,volume_unit
Acorelle Pure Harvest Body Perfume - 100ml,Acorelle,https://www.lookfantastic.com/acorelle-pure-harvest-body-perfume-100ml/11577065.html,Mist,"Alcohol, Aqua, Glycerin, Fragrance, Limonene, Linalool.",10.0,"['alcohol', 'aqua', 'glycerin', 'fragrance', 'limonene', 'linalool']",6,100.0,ml
Aesop Amazing Face Cleanser 200ml,Aesop,https://www.lookfantastic.com/aesop-amazing-face-cleanser-200ml/10366097.html,Cleanser,"Water, Cocamidopropyl Belaine, Sea Salt, Glycerine, Tangerine Oil, Lavender Oil, Cananga Odorata Flower Oil, Magnesium Nitrate, Magnesium Chloride, Sodium Laureth Sulphate, Polysorbate 20, Methylchlorisisothiazolinone, Methylisothiazolinone.",35.0,"['water', 'cocamidopropyl belaine', 'sea salt', 'glycerine', 'tangerine oil', 'lavender oil', 'cananga odorata flower oil', 'magnesium nitrate', 'magnesium chloride', 'sodium laureth sulphate', 'polysorbate 20', 'methylchlorisisothiazolinone', 'methylisothiazolinone']",13,200.0,ml
Aesop Animal Body Wash 500ml,Aesop,https://www.lookfantastic.com/aesop-animal-body-wash-500ml/12044867.html,Body Wash,"Water (Aqua), Sodium Laureth Sulfate, Propylene Glycol, Coco-Betaine, Sea Salt (Maris sal), Cocamide MIPA, Citrus Medica Limonum (Lemon) Peel Oil, Phenoxyethanol, Melaleuca Alternifolia (Tea Tree) Leaf Oil, PEG-40 Hydrogenated Castor Oil, Sodium Citrate, Mentha Viridis (Spearmint) Leaf Oil, Citric Acid, Ethylhexylglycerin, Magnesium Nitrate, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone, d-Limonene.",27.0,"['water (aqua)', 'sodium laureth sulfate', 'propylene glycol', 'coco-betaine', 'sea salt (maris sal)', 'cocamide mipa', 'citrus medica limonum (lemon) peel oil', 'phenoxyethanol', 'melaleuca alternifolia (tea tree) leaf oil', 'peg-40 hydrogenated castor oil', 'sodium citrate', 'mentha viridis (spearmint) leaf oil', 'citric acid', 'ethylhexylglycerin', 'magnesium nitrate', 'methylchloroisothiazolinone', 'magnesium chloride', 'methylisothiazolinone', 'd-limonene']",19,500.0,ml
Aesop Chamomile Concentrate Anti-Blemish Mask 60ml,Aesop,https://www.lookfantastic.com/aesop-chamomile-concentrate-anti-blemish-mask-60ml/10366573.html,Mask,"Water (Aqua), Kaolin, Bentonite, Alcohol Denat., Glycerin, Oenothera Biennis (Evening Primrose) Oil, Rosa Canina Fruit Oil, Phenoxyethanol, Citrus Medica Limonum (Lemon) Peel Oil, Ormenis Multicaulis Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Salvia Officinalis (Sage) Oil, Leptospermum Petersonii Oil, Methylchloroisothiazolinone, Methylisothiazolinone, d-Limonene.",31.0,"['water (aqua)', 'kaolin', 'bentonite', 'alcohol denat', 'glycerin', 'oenothera biennis (evening primrose) oil', 'rosa canina fruit oil', 'phenoxyethanol', 'citrus medica limonum (lemon) peel oil', 'ormenis multicaulis oil', 'rosmarinus officinalis (rosemary) leaf oil', 'melaleuca alternifolia (tea tree) leaf oil', 'salvia officinalis (sage) oil', 'leptospermum petersonii oil', 'methylchloroisothiazolinone', 'methylisothiazolinone', 'd-limonene']",17,60.0,ml
Aesop Parsley Seed Anti-Oxidant Eye Cream 10ml,Aesop,https://www.lookfantastic.com/aesop-parsley-seed-anti-oxidant-eye-cream-10ml/10366954.html,Eye Care,"Aloe Barbadensis Leaf Juice, Water, PEG-60 Almond Glycerides, Hamamelis Virginiana (Witch Hazel) Water, Magnesium Ascorbly Phosphate, PEG-150 Distearate, Benzyl Alcohol, Clycine Soja Sorbitol, Polysorbate 20, Panthenol, Linalool, Disodium EDTA, Camellia, Sinensis Leaf Extracts, Omenis Multicaulis Oil, Benzalkonium Chloride, Chamomilla Recutita (Matricaria) Flower Oil, Methylisothiazolinoe, Carum Petroselinum (Parsley) Seed Oil, Dancus Carota Sativa (Carrot) Root Extract, d-Limonene, Beta-Carotene, Tocopherol.",63.0,"['aloe barbadensis leaf juice', 'water', 'peg-60 almond glycerides', 'hamamelis virginiana (witch hazel) water', 'magnesium ascorbly phosphate', 'peg-150 distearate', 'benzyl alcohol', 'clycine soja sorbitol', 'polysorbate 20', 'panthenol', 'linalool', 'disodium edta', 'camellia', 'sinensis leaf extracts', 'omenis multicaulis oil', 'benzalkonium chloride', 'chamomilla recutita (matricaria) flower oil', 'methylisothiazolinoe', 'carum petroselinum (parsley) seed oil', 'dancus carota sativa (carrot) root extract', 'd-limonene', 'beta-carotene', 'tocopherol']",23,10.0,ml
Aesop Parsley Seed Anti-Oxidant Eye Serum 15ml,Aesop,https://www.lookfantastic.com/aesop-parsley-seed-anti-oxidant-eye-serum-15ml/10363561.html,Eye Care,"Aloe Babedensis Lead Juice, Water (Aqua), PEG 60 Almond Glycerides, Sodium Lactate, Hammelis Virginiana (Witch Hazel) Distilate, Magnesium Ascorbyl Phosphate PEG-150 Distearate, Benzyl Alcohol. Glycine Soja (Soybean) Oil. Lavendula Angustifiolia (Lavender) Oil, Phenoxyethanol, Sorbitol, Polysorbate 20, Panthenol. Disodium EDTA, Camellia Sinensis Leaf Extract, Ormenis Multicaulis Oil, Benzalkonium Chloride, Chamomilia Recutita (Matricaria) Flower Oil, Methylisothiazolinone, Carum Petroslinum (Parsley) Seed Oil, Daucus Carota Sativa (Carrot) Root Extract, Beta-Carotene, Tocopherol, Linalool, d-Limonene.",57.0,"['aloe babedensis lead juice', 'water (aqua)', 'peg 60 almond glycerides', 'sodium lactate', 'hammelis virginiana (witch hazel) distilate', 'magnesium ascorbyl phosphate peg-150 distearate', 'benzyl alcohol glycine soja (soybean) oil lavendula angustifiolia (lavender) oil', 'phenoxyethanol', 'sorbitol', 'polysorbate 20', 'panthenol disodium edta', 'camellia sinensis leaf extract', 'ormenis multicaulis oil', 'benzalkonium chloride', 'chamomilia recutita (matricaria) flower oil', 'methylisothiazolinone', 'carum petroslinum (parsley) seed oil', 'daucus carota sativa (carrot) root extract', 'beta-carotene', 'tocopherol', 'linalool', 'd-limonene']",22,15.0,ml
AHAVA Liquid Dead Sea Salt 200ml,AHAVA,https://www.lookfantastic.com/ahava-liquid-dead-sea-salt-200ml/11286026.html,Bath Salts,"Maris Aqua (Dead Sea Water), Aqua (Mineral Spring Water), Polysorbate-20, Peg-7 Glyceryl Cocoate, Hydroxyethylcellulose, PVP, Citrus Grandis (Grapefruit) Peel Oil, Tocopheryl (Vitamin E) Acetate, Dunaliella Salina (Dead Sea Alga) Extract & Hydrogenated Polydecene, Arginine.",19.99,"['maris aqua (dead sea water)', 'aqua (mineral spring water)', 'polysorbate-20', 'peg-7 glyceryl cocoate', 'hydroxyethylcellulose', 'pvp', 'citrus grandis (grapefruit) peel oil', 'tocopheryl (vitamin e) acetate', 'dunaliella salina (dead sea alga) extract & hydrogenated polydecene', 'arginine']",10,200.0,ml
AHAVA Purifying Mud Mask 100ml,AHAVA,https://www.lookfantastic.com/ahava-purifying-mud-mask-100ml/11286067.html,Mask,"Kaolin, Silt (Dead Sea Mud), Aqua (Mineral Spring Water), Cocamide MEA, DMDM Hydantoin, Sodium Lauroamphoacetate, Sodium Trideceth Sulfate, Propanediol (Corn derived Glycol), Glyceryl Stearate, Ethylhexyl Palmitate, Aloe Barbadensis Leaf Extract, Propylene Glycol, Glycerin, Simmondsia Chinensis (Jojoba) Seed Oil, Ceteareth-30, Cetearyl Alcohol, Maris Sal (Dead Sea Water), Sodium Lactate, Zinc Oxide, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol, Panthenol (Pro Vitamin B5), Chamomilla Recutita (Matricaria) Flower Oil, Stearyl Alcohol, Magnesium Aluminum Silicate, Hydroxyethylcellulose, Peg-40 Stearate, Allantoin, Lactic Acid, Dimethicone, Sorbitan Tristearate, Xanthan Gum, PEG-5 Cocoate, PEG-8 Dicocoate, PEG-9, Iodopropynyl Butylcarbamate, Triclosan, Methylisothiazolinone, BHA, Tocopherol (Vitamin E).",28.99,"['kaolin', 'silt (dead sea mud)', 'aqua (mineral spring water)', 'cocamide mea', 'dmdm hydantoin', 'sodium lauroamphoacetate', 'sodium trideceth sulfate', 'propanediol (corn derived glycol)', 'glyceryl stearate', 'ethylhexyl palmitate', 'aloe barbadensis leaf extract', 'propylene glycol', 'glycerin', 'simmondsia chinensis (jojoba) seed oil', 'ceteareth-30', 'cetearyl alcohol', 'maris sal (dead sea water)', 'sodium lactate', 'zinc oxide', 'caprylyl glycol', 'chlorphenesin', 'phenoxyethanol', 'panthenol (pro vitamin b5)', 'chamomilla recutita (matricaria) flower oil', 'stearyl alcohol', 'magnesium aluminum silicate', 'hydroxyethylcellulose', 'peg-40 stearate', 'allantoin', 'lactic acid', 'dimethicone', 'sorbitan tristearate', 'xanthan gum', 'peg-5 cocoate', 'peg-8 dicocoate', 'peg-9', 'iodopropynyl butylcarbamate', 'triclosan', 'methylisothiazolinone', 'bha', 'tocopherol (vitamin e)']",41,100.0,ml
AHAVA Single Use 24K Gold Mineral Mud Mask 6ml,AHAVA,https://www.lookfantastic.com/ahava-single-use-24k-gold-mineral-mud-mask-6ml/12054138.html,Mask,"Aqua (Mineral Spring Water), Glycerin, Propanediol (Corn derived Glycol), Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Dimethicone, Caprylyl Methicone, Calcium Aluminum Borosilicate, Isostearyl Isostearate, Aloe Barbadensis Leaf Juice, Squalene (Phytosqualene), PVP, Niacinamide, Titanium Dioxide (CI 77891), Silica, Mica, PEG-12 Dimethicone/PPG-20 Crosspolymer, Iron Oxides (CI 77491), Caprylyl Glycol, 1,2-Hexanediol, Sodium Hyaluronate, Tin Oxide, Ethyl Lauroyl Arginate HCl, Phenoxyethanol, Saccharide Isomerate, Sorbic Acid, Chlorphenesin, Biosaccharide Gum-1, Parfum (Fragrance), Allantoin, Silt (Dead Sea Mud), Sodium Citrate, Maris Aqua (Dead Sea Water), Dunaliella Salina Extract, Hydrogenated Polydecene, Methylsilanol Mannuronate, Phoenix Dactylifera (Date) Fruit Extract, Lactic Acid, Citric Acid, Maris Sal (Dead Sea Salt), Gold (CI 77480), Hexyl Cinnamal, Benzyl Salicylate, Butylphenyl Methylpropional.",2.36,"['aqua (mineral spring water)', 'glycerin', 'propanediol (corn derived glycol)', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'dimethicone', 'caprylyl methicone', 'calcium aluminum borosilicate', 'isostearyl isostearate', 'aloe barbadensis leaf juice', 'squalene (phytosqualene)', 'pvp', 'niacinamide', 'titanium dioxide (ci 77891)', 'silica', 'mica', 'peg-12 dimethicone/ppg-20 crosspolymer', 'iron oxides (ci 77491)', 'caprylyl glycol', '1,2-hexanediol', 'sodium hyaluronate', 'tin oxide', 'ethyl lauroyl arginate hcl', 'phenoxyethanol', 'saccharide isomerate', 'sorbic acid', 'chlorphenesin', 'biosaccharide gum-1', 'parfum (fragrance)', 'allantoin', 'silt (dead sea mud)', 'sodium citrate', 'maris aqua (dead sea water)', 'dunaliella salina extract', 'hydrogenated polydecene', 'methylsilanol mannuronate', 'phoenix dactylifera (date) fruit extract', 'lactic acid', 'citric acid', 'maris sal (dead sea salt)', 'gold (ci 77480)', 'hexyl cinnamal', 'benzyl salicylate', 'butylphenyl methylpropional']",43,6.0,ml
AHAVA Single Use Brightening & Hydration Mask 6ml,AHAVA,https://www.lookfantastic.com/ahava-single-use-brightening-hydration-mask-6ml/12054114.html,Mask,"Aqua (Mineral Spring Water), Glycerin, Propanediol (Corn Derived Glycol), Squalene (Phytosqualene), Niacinamide, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isostearyl Isostearate, Ethylhexyl Palmitate, Caprylyl Methicone, Silica, PVP, Phenoxyethanol, Aloe Barbadensis Leaf Extract, PEG-12 Dimethicone/PPG-20 Crosspolymer, Propylene Glycol, Caprylyl Glycol, 1,2 Hexanediol, Sodium Hyaluronate, Tin Oxide, Titanium Dioxide, Chromium Oxide Greens, Mica, Saccharide Isomerate, Hydrolyzed Yeast Protein, Biosaccharide Gum-1, Parfum (Fragrance), Citral, Limonene, Linalool, Ferric Ferrocyanide, Allantoin, Silt (Dead Sea Mud), Maris Aqua (Dead Sea Water), Lactic Acid, Ethylhexylglycerin, Dunaliella Salina Extract, Hydrogenated Polydecene, Phoenix Dactylifera (Date) Fruit Extract, Tetrahydropiperine, Maris Sal (Dead Sea Salt).",2.36,"['aqua (mineral spring water)', 'glycerin', 'propanediol (corn derived glycol)', 'squalene (phytosqualene)', 'niacinamide', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'isostearyl isostearate', 'ethylhexyl palmitate', 'caprylyl methicone', 'silica', 'pvp', 'phenoxyethanol', 'aloe barbadensis leaf extract', 'peg-12 dimethicone/ppg-20 crosspolymer', 'propylene glycol', 'caprylyl glycol', '1,2 hexanediol', 'sodium hyaluronate', 'tin oxide', 'titanium dioxide', 'chromium oxide greens', 'mica', 'saccharide isomerate', 'hydrolyzed yeast protein', 'biosaccharide gum-1', 'parfum (fragrance)', 'citral', 'limonene', 'linalool', 'ferric ferrocyanide', 'allantoin', 'silt (dead sea mud)', 'maris aqua (dead sea water)', 'lactic acid', 'ethylhexylglycerin', 'dunaliella salina extract', 'hydrogenated polydecene', 'phoenix dactylifera (date) fruit extract', 'tetrahydropiperine', 'maris sal (dead sea salt)']",40,6.0,ml
